Male,Age,Debt,Married,BankCustomer,EducationLevel,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,Citizen,Income,Approved,Probs,Class
1,-0.062320896,-0.956613213,-0.542949964,-0.559498905,1.471393362,0.757878258,-0.291082636,0.954650376,1.157144352,-0.288100529,-0.31717105,-0.195413339,0,0.152489163,0
0,2.288101338,-0.06005053,-0.542949964,-0.559498905,1.004391789,-0.836438809,0.244190444,0.954650376,1.157144352,0.740829932,-0.31717105,-0.08785188,0,0.141760017,0
0,-0.59673802,-0.856101702,-0.542949964,-0.559498905,1.004391789,-0.836438809,-0.216323826,0.954650376,-0.864196415,-0.493886621,-0.31717105,-0.037144335,0,0.355201401,0
1,-0.315599154,-0.647037758,-0.542949964,-0.559498905,1.471393362,0.757878258,0.456505464,0.954650376,1.157144352,0.53504384,-0.31717105,-0.194837117,0,0.132222647,0
1,-0.962302973,0.174141292,-0.542949964,-0.559498905,1.471393362,0.757878258,-0.153526426,0.954650376,-0.864196415,-0.493886621,3.270501482,-0.195413339,0,0.276792756,0
1,0.043211711,-0.15252112,-0.542949964,-0.559498905,0.770891003,0.757878258,0.082711414,0.954650376,-0.864196415,-0.493886621,-0.31717105,-0.195413339,0,0.377094225,0
1,0.135236145,-0.747549269,-0.542949964,-0.559498905,1.237892576,-0.836438809,1.278852375,0.954650376,-0.864196415,-0.493886621,-0.31717105,5.813622831,0,0.214747785,0
0,-0.730131236,1.372238511,-0.542949964,-0.559498905,-0.863614503,0.757878258,-0.652915277,0.954650376,-0.864196415,-0.493886621,-0.31717105,0.063694534,0,0.354806969,0
1,1.929290473,-0.856101702,1.783978455,1.794490392,0.537390216,-0.836438809,0.519302865,0.954650376,-0.864196415,-0.493886621,-0.31717105,-0.135102092,0,0.532530588,1
1,0.922931528,0.031414946,1.783978455,1.794490392,1.471393362,0.757878258,0.281569849,0.954650376,-0.864196415,-0.493886621,-0.31717105,0.081557419,0,0.486903782,0
1,-0.801049149,-0.789764104,-0.542949964,-0.559498905,-1.09711529,-0.836438809,-0.017465392,-1.047503908,-0.864196415,-0.493886621,-0.31717105,-0.195413339,0,0.951739439,1
1,-0.139148634,-0.587735966,-0.542949964,-0.559498905,-1.09711529,-0.836438809,0.63144108,0.954650376,-0.864196415,-0.493886621,-0.31717105,-0.156998532,0,0.39471714,0
0,0.564120662,0.249524926,-0.542949964,-0.559498905,0.537390216,0.757878258,-0.365841446,0.954650376,-0.864196415,-0.493886621,-0.31717105,-0.195413339,0,0.363944531,0
1,1.394029087,0.257565847,-0.542949964,-0.559498905,0.537390216,0.757878258,-0.652915277,-1.047503908,-0.864196415,-0.493886621,-0.31717105,0.321265814,0,0.951074444,1
0,1.204070394,1.15412853,-0.542949964,-0.559498905,1.004391789,0.757878258,0.830299514,0.954650376,1.157144352,0.946616024,-0.31717105,-0.195413339,0,0.116272664,0
1,0.430727446,-0.069096566,1.783978455,1.794490392,0.537390216,0.757878258,-0.590117877,0.954650376,1.157144352,1.563974301,-0.31717105,-0.195413339,0,0.220598619,0
1,-0.280140198,-0.780718068,-0.542949964,-0.559498905,0.770891003,0.757878258,-0.377802856,0.954650376,1.157144352,0.123471655,-0.31717105,-0.195413339,0,0.152140548,0
0,-0.702270628,0.224397048,-0.542949964,-0.559498905,1.004391789,0.757878258,0.283065025,0.954650376,1.157144352,1.563974301,-0.31717105,-0.148355201,0,0.109173812,0
1,-0.82215567,-0.906357458,-0.542949964,-0.559498905,-0.630113717,-0.836438809,-0.466018252,0.954650376,-0.864196415,-0.493886621,-0.31717105,-0.195413339,0,0.414507177,0
0,-1.046729059,0.769169441,-0.542949964,-0.559498905,-0.863614503,-0.836438809,-0.440600256,0.954650376,1.157144352,0.946616024,-0.31717105,-0.195413339,0,0.135088902,0
1,-0.554524977,1.304895798,-0.542949964,-0.559498905,-1.09711529,0.757878258,0.082711414,0.954650376,1.157144352,3.004476946,-0.31717105,0.036612095,0,0.121919199,0
1,-0.702270628,-0.75559019,-0.542949964,-0.559498905,-1.09711529,0.757878258,-0.415182261,0.954650376,-0.864196415,-0.493886621,3.270501482,-0.195413339,0,0.315332129,0
0,1.366168479,0.651570972,-0.542949964,-0.559498905,-1.09711529,0.757878258,1.69002583,0.954650376,1.157144352,0.740829932,-0.31717105,0.046599944,0,0.116086297,0
0,-0.350213849,1.958220623,-0.542949964,-0.559498905,1.704894149,-0.836438809,0.257647029,0.954650376,1.157144352,-0.288100529,-0.31717105,-0.193300525,0,0.123144099,0
0,0.810644833,0.350036438,-0.542949964,-0.559498905,1.004391789,0.757878258,-0.515359067,0.954650376,1.157144352,0.123471655,-0.31717105,-0.195413339,0,0.13983163,0
0,-1.328712186,-0.839014745,-0.542949964,-0.559498905,-1.09711529,-0.836438809,-0.216323826,0.954650376,1.157144352,-0.082314437,-0.31717105,-0.195413339,0,0.144045136,0
0,1.302848915,1.656686088,-0.542949964,-0.559498905,0.070388643,-2.032176609,0.879640329,0.954650376,1.157144352,1.358188209,-0.31717105,-0.195413339,0,0.127944291,0
